Unnamed: 0,Product Name,Rating,Rating Info,RAM/ROM,Display,Camera,Battery,Processor,Warranty,Price,Original Price,Offer,Deals,Exchangable_amount
0,Rastic SM Guru Music 2 Mobile Phone,,,8 MB RAM | 16 MB ROM | Expandable Upto 64 GB,6.35 cm (2.5 inch) VGA Display,0MP Front Camera,850 mAh Battery,,NO Warranty,₹998,"₹1,999",50% off,Bank Offer,
1,"POCO C71 (Cool Blue, 128 GB)",4.1,"23,857 Ratings & 1,146 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery,Unisoc T7250 Max clock speed: 2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹6,799","₹9,999",32% off,Bank Offer,"₹5,100"
2,"POCO C71 (Desert Gold, 64 GB)",3.8,"46,431 Ratings & 2,129 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery,Unisoc T7250 Max clock speed: 2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹6,199","₹8,999",31% off,Super Deals,"₹4,600"
3,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",4.3,"11,819 Ratings & 999 Reviews",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP + 50MP + 10MP | 50MP Front Camera,6000 mAh Battery,Dimensity 8350 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹31,999","₹40,999",21% off,Bank Offer,"₹25,450"
4,"REDMI Note 14 SE 5G (Titan Black, 128 GB)",4.3,"14,221 Ratings & 579 Reviews",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor,1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories,"₹13,499","₹19,999",32% off,Super Deals,"₹10,450"
5,"REDMI Note 14 SE 5G (Crimson Art, 128 GB)",4.3,"14,221 Ratings & 579 Reviews",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor,1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories,"₹13,499","₹19,999",32% off,Super Deals,"₹10,450"
6,"Moto g67 power 5G (Pantone Cilantro, 128 GB)",4.5,92 Ratings & 3 Reviews,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,7000 mAh Battery,7s Gen 2 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹15,999","₹18,999",15% off,Bank Offer,"₹12,550"
7,"POCO M7 5G (Mint Green, 128 GB)",4.2,"12,130 Ratings & 599 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹9,999","₹13,999",28% off,Super Deals,"₹7,700"
8,"POCO C71 (Power Black, 128 GB)",4.1,"23,857 Ratings & 1,146 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery,Unisoc T7250 Max clock speed: 2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹6,799","₹9,999",32% off,Super Deals,"₹5,100"
9,"Moto g06 power (Tapestry, 64 GB)",4.2,"1,121 Ratings & 92 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,Helio G81 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹7,199","₹9,999",28% off,,"₹5,400"
