Product Name,Rating,Rating Info,RAM/ROM,Display,Camera,Battery,Processor,Warranty,Price,Original Price,Offer,Deals,Exchangable_amount
Apple Watch SE 2,,,1 GB|32 GB,1.78 inch Display,,Li-Ion 296 mAh Battery,Apple S8 Processor,1 Year,Not Available,,,,
Apple Watch SE 3,,,,1.78 inch Display,,,Apple S10 Processor,1 Year,Not Available,,,,
Apple Watch Series 10,,,,1.96 inch Display,,Li-Ion 327 mAh Battery,Apple S10 Processor,1 Year,Not Available,,,,
Apple Watch Series 10 Aluminum,,,,1.96 inch Display,,Li-Ion 327 mAh Battery,Apple S10 Processor,1 Year,Not Available,,,,
Apple Watch Series 11,,,,1.96 inch Display,,,Apple S10 Processor,1 Year,Not Available,,,,
Apple Watch Series 11 Aluminum,,,,1.96 inch Display,,,Apple S10 Processor,1 Year,Not Available,,,,
Apple Watch Series 8,,,1 GB|32 GB,1.9 inch Display,,Li-Ion 308 mAh Battery,Apple S8 Processor,1 Year,Not Available,,,,
Apple Watch Series 8 Aluminum,,,1 GB|32 GB,1.9 inch Display,,Li-Ion 308 mAh Battery,Apple S8 Processor,1 Year,Not Available,,,,
Apple Watch Series 9,,,,1.9 inch Display,,Li-Ion 308 mAh Battery,Apple S9 Processor,1 Year,Not Available,,,,
Apple Watch Series 9 Aluminum,,,,1.9 inch Display,,Li-Ion 308 mAh Battery,Apple S9 Processor,1 Year,Not Available,,,,
Apple Watch Ultra,,,,1.92 inch Display,,Li-Ion 542 mAh Battery,Apple S8 Processor,1 Year,Not Available,,,,
Apple Watch Ultra 2,,,,1.92 inch Display,,Li-Ion 564 mAh Battery,Apple S9 Processor,1 Year,Not Available,,,,
Apple Watch Ultra 3,,,,1.98 inch Display,,Li-Ion 599 mAh Battery,Apple S10 Processor,1 Year,Not Available,,,,
